,AnimalName,symptoms1,symptoms2,symptoms3,symptoms4,symptoms5,Dangerous
382,fowl,nausea,vomiting,loss of appetite,experiencing changes in weight,pain and bloating,Yes
383,duck,burning ache or pain,vomiting,loss of appetite,experiencing changes in weight,pain and bloating,Yes
384,other birds,continuous loss of weight,regurgitation of food,wheezing,excessive food intake,undigested seeds,Yes
385,snake,loss of appetite,lathargy,abortion,gurgling sound,depression,Yes
386,horse,fever,mild colic,loss of tail tone,loss of appetite,depression,Yes
387,horse,head tilt,lathargy,lathargy,urine dribbling,inability to rise,Yes
388,horse,fever,loss of appetite,respiratory noise,weight loss,depression,Yes
389,horse,fever,nasal discharge,muscular stiffness,swollen lymph nodes,depression,Yes
390,horse,sweating,muscular spasms,thirst,weight loss,difficulty moving and eating,Yes
391,duck,loss of appetite,high body temperaure,lack of appetite,diarrhea,sudden death,Yes
392,donkey,sweating,dry or tacky gums,reduced appetite,lying down,dull ness,Yes
393,donkey,outstretched neck,dull ness,inappetence,noisy breathing,coughing,Yes
394,donkey,weight loss,dull ness,inappetence,self isolation,recumbency,Yes
395,mules,weight loss,dull ness,muscles problem,self isolation,recumbency,Yes
396,elephant,changed gait,dull ness,muscles problem,pain,pains,Yes
397,elephant,changed gait,dull ness,diffuse,difficulty diagnosis,anemia,Yes
398,elephant,difficulty in breathing,swelling problem,bleeding from wounds,frequent yawning,anorexia,Yes
399,elephant,undernutrition,drinking polluted water,listlessness,staggering,anorexia,Yes
400,deer,wasting,stumbling,listlessness,drooling,drooping ears,Yes
401,elk,wasting,stumbling,listlessness,drooling,urination problem,Yes
402,wapiti,wasting,stumbling,listlessness,drooling,urination problem,Yes
403,deer,wasting,stumbling,listlessness,drooling,urination problem,Yes
404,mule deer,wasting,stumbling,listlessness,drooling,urination problem,Yes
405,black tailed deer,wasting,stumbling,listlessness,drooling,urination problem,Yes
406,sika deer,wasting,stumbling,listlessness,drooling,urination problem,Yes
407,white tailed deer,wasting,stumbling,listlessness,drooling,drooping ears,Yes
408,raindeer,wasting,stumbling,listlessness,drooling,drooping ears,Yes
409,moos,wasting,stumbling,fever,drooling,drooping ears,Yes
410,tiger,feline infections,lymphosarcoma,difficulty breating,stomatitis,anaemia,Yes
411,deer,sudden death,high temperature,difficulty breating,weight loss,trembling,Yes
412,cattle,sudden death,high temperature,difficulty breating,aneamia,trembling,Yes
413,goats,sudden death,high temperature,difficulty breating,staggering,trembling,Yes
414,sheep,sudden death,high temperature,rapid pulse and heart rates,depression,trembling,Yes
415,buffaloes,fever,loss of appetite,rapid pulse and heart rates,lameness in affected leg,depression,Yes
416,sheep,fever,loss of appetite,rapid pulse and heart rates,lameness in affected leg,depression,Yes
417,goats,fever,loss of appetite,rapid pulse and heart rates,lameness in affected leg,depression,Yes
418,cattle,fever,loss of appetite,swollen teats,lameness in affected leg,depression,Yes
419,cattle,swelling,nasal discharge,drooling,tiredness,fever,Yes
420,sheep,eye discharges,nasal discharge,change their normal behaviour,high body temperature,lameness,Yes
421,dogs,stop eating,stop drinking,change their normal behaviour,lameness,pains,Yes
422,fox,stop eating,stop drinking,change their normal behaviour,weight loss,pains,Yes
423,wolves,stop eating,stop drinking,change their normal behaviour,depression,pains,Yes
424,hyaenas,stop eating,stop drinking,change their normal behaviour,diarrhea,pains,Yes
425,duck,fever,diffulty swallowing,excessive drooling,staggering,seizures,Yes
426,duck,fever,diarrhea,vomiting,weight loss,dehydration,Yes
427,duck,fever,diarrhea,coughing,tiredness,pains,Yes
428,duck,fever,diarrhea,coughing,vomiting,anorexia,Yes
429,duck,fever,difficulty in breathing,coughing,lethargy,sneezing,Yes
430,duck,fever,diarrhea,coughing,lethargy,blue eye,Yes
431,duck,fever,respiratory distress,seizuers,hyperesthesia,sudden death,Yes
432,duck,ulcers,diarrhea,poor appetite,tarry stool,enlarged lymph nodes,Yes
433,duck,facial swelling,bloody drool,foul breath,unable to eat,lossened teeth,Yes
434,duck,fever,difficulty in breathing,thrist and urination,weight loss,enlarged lymph nodes or swelling,Yes
435,duck,swelling on leg,painfull,nasal discharge,broken bones,nasal discharge,Yes
436,duck,short term lethargy,loss of  appetite,weekness in the back legs,rapid heart rate,week pulse,Yes
437,duck,swollen lymph nodes,difficulty in walking,back pain,lethargy,vaginal discharge,Yes
438,duck,fever,diarrhea,abdominal pain,stiffness,severe weekness and depression,Yes
439,duck,fever,loss of  appetite,reduce energy,lameness,swelling of joints,Yes
440,duck,fever,chronic eye inflamation,poor appetite,lethargy,neurologic abnormalities,Yes
441,duck,fever,swelling of face or leg,poor appetite,depression,pains,Yes
442,duck,diarrhea with muscus,tensemus,watery stool,flatulence,pains,Yes
443,duck,strong cough,runny nose,sneezing,lethargy,loss of appettite,Yes
444,duck,fever,inflammed eye,coughing,depression,limping,Yes
445,duck,fever,difficulty in breathing,coughing,eye and skin change,unable to exercise,Yes
446,duck,fever,loss of  appetite,coughing,lethargy,joint pain,Yes
447,duck,lesions in the nasal cavity,lesions on nose,nose bleeds,noisy breathing,lesions on nose,Yes
448,duck,hair loss,dandruff,darkened skin,crusting of the skin,ulcerated skin,Yes
449,duck,greenish yellow nasal discharge,lack of pigmentation,sneezing,lethargy,pain on face,Yes
450,duck,fever,diarrhea,poor appetite,weight loss,vomitting,Yes
451,duck,jaundice,pneumonia,lession on the skin,pain,vomitting,Yes
452,duck,poor coat apperence,diarrhea,vomiting,weight loss,dehydration,Yes
453,duck,watering,no appp,vomiting,lethargy,dehydration,Yes
454,duck,straining,diarrhea,vomiting,weight loss,blindness,Yes
455,duck,upset stomach,diarrhea,vomiting,muscle pain,muscle stiffness,Yes
456,duck,upset stomach,diarrhea,coughing,weight loss,anaemia,Yes
457,duck,allergic reaction,poor appetite,coughing,weight loss,distended chest,Yes
458,duck,fever,anoxeria,weight loss,lethargy,pain,Yes
459,duck,limping,willnot run to jump,swelling,week legs,pain on leg,Yes
460,duck,fever,eye ulcer,congestion,depression,pink eye,Yes
461,duck,pnemonia,loss of  appetite,eye disharge,lameness,arthritis,Yes
462,duck,fever,seizures,hydrophobia,jaw is dropped,shyness or aggression,Yes
463,duck,bloody urine,difficulty in breathing,vomiting,weight loss,anorexia,Yes
464,duck,loss of eat,difficulty in breathing,swelling,lameness,neurologic abnormalities,Yes
465,duck,dark or black face,diarrhea,vomiting,blood in faces,pain,Yes
466,duck,jaundice,difficulty in breathing,seizuers,lethargy,pale gums,Yes
467,duck,appetite varies,diarrhea,vomiting,weight loss,pain,Yes
468,duck,loss of eat,fell unwell,lethargy,weight loss,skin issue,Yes
469,duck,sickness,loss of  appetite,vomiting,weight loss,raised growth or bump,Yes
470,duck,nasal bleeding,diffulty chewing,swelling,weight loss,anorexia,Yes
471,duck,ulcers,lesions,scabs,lumps,bumps black grey or red ,Yes
472,duck,gasc,loss of  appetite,blood in stool,stomach growling,black stool,Yes
473,duck,shaking head,scartching ear,black on ear,bad smell,red and inflammation ear,Yes
474,duck,attacks,loss of  appetite,coughing,weight loss,periodic vommiting,Yes
475,elephant,blood stool,diarrhea,coughing,weight loss,anemia,Yes
476,elephant,nasal discharge,nosebleeds,inflamed nostrils,sneezing,lound breathing,Yes
477,elephant,polyuria,loss of  appetite,vomiting,weight loss,polydipsa,Yes
478,elephant,exessive urination,change in gait,vomiting,weight loss,inability to jump,Yes
479,elephant,convulsion,loss of consciousness,chewing,twitching,salivating,Yes
480,elephant,wheezing,rapid breathing,coughing,swallowing,effort to breath,Yes
481,elephant,jaundice,weekness,lethargy,weight loss,anorexia,Yes
482,elephant,lession on cat skin,dandruff in cat coat,red patches,hair loss,skin issue,Yes
483,elephant,lethargy,diarrhea,vomiting,discharge from eye,anorexia,Yes
484,elephant,skin irritation,scartching,lethargy,hair loss,excessive grooming,Yes
485,elephant,floopy muscle,speech delay,intellectual disability,walking problem,eye movements,Yes
486,elephant,sensitivity to bright light,disharge from affected eye,inflammation,clouded cornea,rubbing eye,Yes
487,elephant,fever,diarrhea,vomiting,cramps,dehydration,Yes
488,elephant,tenderness,erythema,swelling,scartch,pain,Yes
489,elephant,fever,diarrhea,vomiting,salivation,decrease appetite,Yes
490,elephant,scaly patches of skin,sore,scabs,scartch,hair loss,Yes
491,elephant,fatty stool,diarrhea,vomiting,weight loss,pain,Yes
492,elephant,nausea,loss of appetite,vomiting,firm,distended stomach,Yes
493,elephant,fever,swelling  in the bite area,lethargy,limp,pain,Yes
494,elephant,fever,loss of appetite,eyeproblem,liver disease,nuerological,Yes
495,elephant,fever,mild sneezing,coughing,nasal,ocular discharge,Yes
496,elephant,most often none,sneezing,nasal discharge,dyspnea,pain,Yes
497,elephant,fever,diarrhea,vomiting,blood from mouth,shock,Yes
498,elephant,discomfort,diarrhea,dry or dull hair,grinding teeth,pain,Yes
499,elephant,loss of appetite,swelling,nasal discharge,blindness,lethargy,Yes
500,elephant,rhinitis,pneumonia,abscessess,torticollis,septicemia,Yes
501,elephant,fever,diarrhea,enteritis,weight loss,stomach  cramps,Yes
502,elephant,immediate death,difficulty in breathing,blue colored lip,bloody discharge,neurologic abnormalities,Yes
503,elephant,fever,pox lession on skin,skin reashes,nasal discharge,mortality varies,Yes
504,elephant,red on affected area,horny growth,wart like growth,red skin,lesions on ear,Yes
505,elephant,fever,chills,skin ulcer,exhaustion,swollen and painfull,Yes
506,elephant,watering diarrhea,depression,emaciation,ruffled coat,lethargy,Yes
507,elephant,weight loss,emaciation,loss of appetite,weakness,diarrhoea,Yes
508,elephant,loss of appetite,diarrhea,swollen purple wattle,swollen comb,lameness,Yes
509,elephant,loss of appetite,diarrhea,ruffled feathers,weight loss,inability to absorb nutrients,Yes
510,elephant,egg production decreases,stunted growth,blindness,distinctive bumps,facial swelling,Yes
511,elephant,loss of appetite,thirst,ruffled feathers,closed eyes,diarrhea,Yes
512,elephant,fever,weakened legs,los of the ability to walk,mammary glads,fluif filled blisters,Yes
513,elephant,fever,weakened legs,los of the ability to walk,weight loss,lameness,Yes
514,elephant,abortion at the end of gestation,fatigue,weak calves,join pains,swelling of internal organs,Yes
515,elephant,swollen,red colored,hot udder,milk getting out more watery,milk getting out more thick,Yes
516,elephant,fever,distress,trembling,staggering,convulsion,Yes
517,elephant,fever,animal become lame,prostrat,painfull swalling,lameness,Yes
518,elephant,fever,difficulty in breathing,dribbling of saliva,inability of swalllon feeding,moist and painfull,Yes
519,elephant,fluif faeces on blood and muscle,sudden death,blooody fluid,red diarrhea,faeces are streake with blood,Yes
520,elephant,fever,pneumonia,stand with head droping,weight loss,abnormal behaviour,Yes
521,elephant,fever,slightly swollen,lession on the skin,milky hard,papules appear on teats anad udder,Yes
522,elephant,fever,dull,hind quarted soil,animal stop feed,decrease in milk production,Yes
523,elephant,severe,diarrhea,blood on faces,appetite,milk reduce,Yes
524,elephant,fever,depression,relunctance to move,salivation,nasal discharge,Yes
525,elephant,normal appetite,diarrhea,swelling may occur under jaw,weight loss,drop in milk production,Yes
526,elephant,swelling on leg,heat,hardness,redness,pain,Yes
527,elephant,inability to stand,diarrhea,bottle jaw,pot belly,dry hair coat,Yes
528,elephant,excitability,nervousness,loss of appetite,hyper sensitivity,weakness,Yes
529,elephant,fever,depression,attack,bite other animals,pain,Yes
530,hamster,fever,difficulty in breathing,coughing,painfull,eye become dull,Yes
531,hamster,fever,ulcer on gum,red eye,yellowish discharge,bloody diarrhea,Yes
532,hamster,fever,diarrhea,coughing,consistency of milk,pain,Yes
533,hamster,animal gets uneasy,difficulty in breathing,difficult in respiration,excessive production,stamping and pedding of hind eye,Yes
534,hamster,fever,chills,severe colic,weakness,anorexia,Yes
535,hamster,fever,body stiffness,lethargy,severe inflammation,pain,Yes
536,hamster,sickness,diarrhea,weight loss,nausea,dehydration,Yes
537,hamster,sudden death,trouble walking,paralysis,depression,convulsion,Yes
538,hamster,fever,abortion,kidney failure,inflammation of eye,eye redness,Yes
539,hamster,small red bumps,pneumonia,septic arthritis,skin infection,pain,Yes
540,hamster,fever,ataxia,aggressiveness,depression,obscure lameness,Yes
541,fowl,ring shaped lesion,round patches,dry skin,size of lesions vary,pain,Yes
542,fowl,fever,diarrhea,loss of appetite,colic,weakness,Yes
543,fowl,fever,depression,loss of appetite,stumbling,ataxia,Yes
544,fowl,bubbles in the mouth,wheezing,loss of appetite,lethargy,nasal discharge,Yes
545,fowl,changes in outer layer skin,swelling of eye,loss of appetite,lethargy,respiratory infection,Yes
546,fowl,red tinge,slim over the shell,bad smell,easily damage shell,flaking of the scutes,Yes
547,fowl,passing of undigested food,diarrhea,vomiting,gas or bloating,dehydration,Yes
548,fowl,smell,diarrhea,loss of appetite,excess sleeping,folded ears,Yes
549,fowl,loss of activity,rough coat,loss of appetite,weight loss,eventually death,Yes
550,fowl,fever,diarrhea,vomiting,dehydration,pain,Yes
551,fowl,bald patches,hair loss,crusty,flaky,red lesion from bald patches,Yes
552,fowl,poor condition,enlarged lymph nodes,diarrhea,weight loss,pain,Yes
553,fowl,fever,chills,coughing,progressive weakness,joint pain,Yes
554,fowl,heavy infection,diarrhea,vitamin and minerals defiency,weight loss,pain,Yes
555,fowl,fever,diarrhea,muscle weakness,muscle pain,abdonormal discomfort,Yes
556,fowl,fever,chills,headache,nausea,pain,Yes
557,fowl,thicked skin,hair tining,hair loss,scabbing,itchiness,Yes
558,fowl,facial edema,loss of earing,vomiting,head ache,throat and ear pain,Yes
559,fowl,general malaise,hepatic failure,vomiting,weight loss,abdonormal pain,Yes
560,fowl,upset stomach,loss of appetite,nause,weight loss,abdonormal pain,Yes
561,fowl,fever,muscle loss,skeleten pain,weight loss,wasting,Yes
562,fowl,oedema,swelling of face or leg,swelling of neck,weight loss,pain,Yes
563,fowl,poor growth,short stature,enlargement of bones,lameness,weigth bearing long bones,Yes
564,fowl,fever,chills,sweat,head ache,fatique,Yes
565,fowl,fever,loss of appetite,weakness,weight loss,vomitting,Yes
566,fowl,dullness,lacrimation,coughing,diarrhea,seizures,Yes
567,fowl,vomiting,bloody diarrhea,lethargy,dehydration,anorexia,Yes
568,fowl,fever,uncharacteristic hiding,depression,dehydration,stopped eat,Yes
569,fowl,fever,poor coat condition,infection of the skin,weight loss,fatique,Yes
570,fowl,weakness,stiffness,trembling,white mark on the muscle,loss of vitamin e,Yes
571,fowl,partial paralysis,staggering as drunk,self mutilation,acting aggressive,acting unnaturally tame,Yes
572,fowl,fever,tiredness,headache,skin rashes,pain,Yes
573,fowl,thick crusting,itchiness,hair loss,watery eye,pain,Yes
574,fowl,constant pacing,facial muscle twitching,abnormalalities,blindness,muscle pain,Yes
575,fowl,loss of appetite,wheezing,seizuers,skin rashes,fatique,Yes
576,fowl,indigestion,abdominal pain,constipation,diarrhea,nausea,Yes
577,fowl,blood in urine,diarrhea,vomiting,lethargy,bleeding in eye and skin,Yes
578,fowl,fever,malaise,weakness,weight loss,pain,Yes
579,fowl,fever,diarrhea,vomiting,stomach cramps,nausea,Yes
580,fowl,fever,lack of coordination,depression,salivation,facial paralysis,Yes
581,fowl,sores on lip,infection,sores on lower leg and teats,lesion,pain,Yes
582,fowl,abortion on late pregancy,stillbirth,retained placenda,endomeritis,decrease appetite,Yes
583,fowl,paresis,paralysis,weakness,stomach cramps,diarrhea,Yes
584,fowl,fever,diarrhea,swelling,weight loss,pain,Yes
585,fowl,fever,hemolytic anemia,hemoglobinuria,pulmonary congestion,jaundice,Yes
586,fowl,abortion,mummification,stillbirth,weak kids,pain,Yes
587,fowl,runny nose,difficulty in breathing,coughing,weakness,loss of appettite,Yes
588,fowl,fever,nasal discharge,respiratory distress,pox lesion,pain,Yes
589,fowl,fever,dark colored bloody,incoordination,difficulty in breathing,terminal convulsion,Yes
590,fowl,fever,dysentery,swelling,immediate death,pain,Yes
591,fowl,fever,respiratory distress,mucous discharge,reduce feed,weight gain,Yes
592,fowl,decreased milk,holding limbs off the ground,weight loss,lameness,wool production,Yes
593,fowl,swelling of udder,change in milk,swollen,tender to touch,pain,Yes
594,fowl,fever,respiratory distress,occular discharge,mouth lesion,nasal discharge,Yes
595,fowl,fever,wound lesion,excess salivary,difficult in walking,pain,Yes
596,fowl,emaciation,edema in lower jaw,coughing,shivering,anemia,Yes
597,buffaloes,fever,reduce growth,kid moratality,weakness,dullness,Yes
598,buffaloes,fever,reduce growth,edema in lower jaw,weight loss,anemia,Yes
599,buffaloes,emaciation,diarrhea,kid moratality,weakness,anemia,Yes
600,buffaloes,skinallergy,reduce growth,wound,head ache,dizziness,Yes
601,buffaloes,watering of eyes,redness of white of the eye,swelling of eyelid,cornea become cloudy,tear production,Yes
602,buffaloes,berberi,wasting,nervous,weight loss,anorexia,Yes
603,buffaloes,gastritis,morbidity,bloody,mortality,anemia,Yes
604,buffaloes,fever,severe headache,vomiting,coughing,fatique,Yes
605,buffaloes,fever,tiredness,swollen kidney,hematuria,muscle aches,Yes
606,buffaloes,fever,diarrhea,decreased appetite,vomiting,bloody,Yes
607,buffaloes,gas,diarrhea,abdominal discomfort,vomiting,nausea,Yes
608,buffaloes,drooping ears,lack of coordination,drooling,wasting,listlessness,Yes
609,buffaloes,edema,diarrhea,nasal discharge,decresed egg production,sneezing,Yes
610,buffaloes,drooping wings,depression,nasal discharge,coughing,greenish diarrhea,No
611,buffaloes,weakness,yellow or green dropping,purplish combs,wattles,drop on egg production,No
612,buffaloes,neck paralysis,diarrhea,ruffled feathers,labored breathing,weakness,No
613,buffaloes,facial swelling,lacrimation,diarrhea,anorexia,nasal discharge,No
614,buffaloes,loss of appetite,depression,paralyzed leg,weight loss,anemia,No
615,buffaloes,dejection,loss of appetite,slow growth,diarrhea,lesion,No
616,buffaloes,severe swellimg,heavy breathing,diarrhea,weight loss,pain,No
617,buffaloes,weakness,diarrhea,high moratality,dehydration,anorexia,No
618,buffaloes,fever,hepatitis,skin rashes,weight loss,pain,No
619,buffaloes,sneezing,epistaxis,coughing,difficulty in breathing,nasal discharge,No
620,buffaloes,sneezing,unilateral nasal discharge,gagging,retching,weight loss,Yes
621,buffaloes,fever,depression,coughing,weight loss,anorexia,Yes
622,buffaloes,shallow breathing,halitosis,coughing,lethargy,nasal discharge,Yes
623,buffaloes,dyspnea,sneezing,coughing,difficulty in breathing,infection,Yes
624,buffaloes,dyspnea,sneezing,coughing,difficulty in breathing,pain,Yes
625,buffaloes,fever,rhinorrhea,coughing,sneezing,dehydration,Yes
626,buffaloes,fever,rhinorrhea,coughing,facial edema,dyspnea,Yes
627,buffaloes,fever,rhinorrhea,coughing,sneezing,nasal discharge,Yes
628,buffaloes,mortality,painfull,coughing,weight loss,nasal discharge,Yes
629,buffaloes,skin rashes,diarrhea,death,facial edema,pain,Yes
630,buffaloes,fever,dyspnea,coughing,lethargy,weightloss,Yes
631,buffaloes,fever,dyspnea,coughing,weakness,anorexia,Yes
632,buffaloes,facial edema,dyspnea,conjuctivtis,weakness,pharyngitis,Yes
633,buffaloes,fever,pneumonia,congestion,lethargy,nasal discharge,Yes
634,buffaloes,fever,death,coughing,weight loss,nasal discharge,Yes
635,buffaloes,sneezing,convulsion,seizuers,weight loss,nasal discharge,Yes
636,buffaloes,fever,death,coughing,dyspnea,anorexia,Yes
637,buffaloes,dyspnea,difficulty in breathing,coughing,lethargy,nasal discharge,Yes
638,buffaloes,air sacculitis,halitosis,coughing,enteritis,weight loss,Yes
639,buffaloes,fever,convulsion,sudden death,urine retention,weight loss,Yes
640,buffaloes,dyspnea,neurologic sign,coughing,depression,anorexia,Yes
641,buffaloes,fever,dyspnea,coughing,lethargy,anorexia,Yes
642,buffaloes,labored breathing,dyspnea,coughing,depression,anorexia,Yes
643,buffaloes,blood from mouth,diarrhea,coughing,lethargy,weight loss,Yes
644,buffaloes,hemopytsis,diarrhea,asymptomatic,death,epistaxis,Yes
645,buffaloes,restlessness,weakness,blue straws,death,pain,Yes
646,buffaloes,stripped remiges,less feather growth,ruffled feathers,defienciency in vitamin,diarrhea,Yes
647,buffaloes,apathy,depression,dilation of duodenum,cloacal pasting,congestion,Yes
648,buffaloes,lepatomegaly,splenomegaly,vomiting,swollen,shaking oh head,Yes
649,buffaloes,balance problem,abdominal destention,neck paralysis,weight loss,pains,Yes
650,buffaloes,legness,paresis,coughing,weight loss,shortness of breath,Yes
651,buffaloes,fever,sour throat,mortality,muscle aches,abnormalities,Yes
652,buffaloes,difficulty in feeding,preening,weakness,beak overgrowth,anemia,Yes
653,buffaloes,fever,loss of appetite,ear infection,depression,nasal discharge,Yes
654,buffaloes,forthy eye,torticollis,weakness,swelling,emaciation,Yes
655,buffaloes,inappentence,diarrhea,tremors of the head,dehydration,weight loss,Yes
656,buffaloes,lack of walking,lack of flying,roughened,dehydration,pains,Yes
657,buffaloes,skin rashes,small and yellow bumps,swelling,dry scabs,lameness,Yes
658,buffaloes,scabs on feet,redness,trachea,thickening of skin,pains,Yes
659,buffaloes,enlarged thymus,obstructed lungs,lethargy,skin rashes,weight loss,Yes
660,buffaloes,fluffed feather,loss of appetite,coughing,vomiting,snoring,Yes
661,buffaloes,fever,difficulty in breathing,yellow eye,sneezing,diphtherictic,Yes
662,buffaloes,heavy breathing,yellow in beak,tail_bobbing,weakness,sleeping excessively,Yes
663,buffaloes,puffed_up feather,less eat,headache,half closed eye,seizures,Yes
664,buffaloes,fever,diarrhea,swollen abdomen,vomiting,difficulty in breathing,Yes
665,buffaloes,tail wagging,straining,lethargy,weakness,diarrhea,Yes
666,buffaloes,overweight,loss of appetite,ruffled feathers,depression,diarrhea,Yes
667,buffaloes,dejection,loss of appetite,stress,coughing,pains,Yes
668,buffaloes,skin infection,secondary infection,coughing,depression,shaking oh head,Yes
669,buffaloes,discharge from eyes,lethargy,coughing,sneezing,fatique,Yes
670,buffaloes,fever,chills,retarded growth,chest pain,chest pain,Yes
671,buffaloes,pale comb,lame,death,swolling of joint,eye closed,Yes
672,buffaloes,lethargy,loss of appetite,difficulty in swallowing,weakness,vision problem,Yes
673,buffaloes,emaciation,difficulty in breathing,vomiting,weakness,diarrhea,Yes
674,buffaloes,liquid dropping,exhaustion,ataxia,lethargy,seizures,Yes
675,buffaloes,undigested in their feces,loss of appetite,loss of pigment,weakness,bloody in feather,Yes
676,buffaloes,sharp feather,clubbed feather,eye disharge,loss of powder down,diarrhea,Yes
677,buffaloes,ruffled appearance,loss of appetite,vomiting,green dropping,nasal discharge,Yes
678,buffaloes,sinuses,swollen eyelids,skin rashes,sneezing,misshapen beak,Yes
679,buffaloes,feather loss,feather plucking,coughing,itching,nasal discharge,Yes
680,buffaloes,watery eyes,eye closed,weight loss,sneezing,nervous issue,Yes
681,buffaloes,bony lesion,skin rashes,ataxia,anorexia,weakness,Yes
682,buffaloes,tremor of head and neck,blindness,kicking at the belly,exercise in tolerance,pains,Yes
683,buffaloes,swollen belly,dullness,discharge,urination,lying down,Yes
684,buffaloes,fever,dullness,depression,weight loss,anorexia,Yes
685,buffaloes,fever,succumb,spread of infection,weight loss,anorexia,Yes
686,buffaloes,signs in rams,signs in ewe,underdeveloped muscles,semen examination,reduce lamp marking,Yes
687,buffaloes,spines,unusally thin,weakness,enlarged skulls,weakness,Yes
688,buffaloes,discharge,sudden abortion,hemoglobinuria,death of lamb,weight loss,Yes
689,buffaloes,fever,hemolytic anemia,sweats,congestion,jaundice,Yes
690,buffaloes,fever,tiredness,loss of appetite,muscle aches,chest pain,Yes
691,buffaloes,excess salivation,diarrhea,depression,nasal discharge,weakness,Yes
692,buffaloes,fever,diarrhea,incoordination,abortion,blood poisioning,Yes
693,buffaloes,fever,wasting,dehydration,deability,weakness,Yes
694,buffaloes,fever,diarrhea,muscle twiching,lameness,weight loss,Yes
695,buffaloes,teeth griding,apathy,dehydration,ruminal stasis,watery faeces,nan
696,buffaloes,fever,depression,lying down,weak pulse,colic,Yes
697,buffaloes,swelling,lameness,hyperaestesia,hock joint,weight loss,Yes
698,buffaloes,head tilt,circling,muscles ache,blindness,seizures,Yes
699,buffaloes,decreased growth of bone,depression,grunting,lameness,weight loss,Yes
700,buffaloes,swollen left abdomen,lying down,staggering,urination,extension of neck,Yes
701,buffaloes,cessation of eructation,difficulty in breathing,depression,anorexia,colic,Yes
702,buffaloes,fever,excession salivation,abnormal conformation,ulcerated muscle,ulcerated ear,Yes
703,buffaloes,barren ewes,abortion,poor conformation,hairy fleeces,weight loss,Yes
704,pig,tremor,viability,coughing,anorexia,weight loss,Yes
705,pig,fever,tachypea,swelling of head and neck,anorexia,nasal discharge,Yes
706,pig,lllthrift,skin lesion,lameness,swelling on thebody,weight loss,Yes
707,pig,swelling,heat,flank,pain,nasal discharge,Yes
708,pig,fever,loss of appetite,lameness,rump,weight loss,Yes
709,pig,fever,swelling,loss of appetite,anorexia,weight loss,Yes
710,pig,fever,diarrhea,bloody droping,abdominal discomfort,lethargy,Yes
711,pig,fever,depression,small intestines,death,flock moratality,Yes
712,pig,haemorrhage,straw colored,abdominal pain,death,carcass decomposes,Yes
713,pig,bloody diarhhea,depression,dullness,death,weakness,Yes
714,pig,reluctant move,loss of appetite,lameness,death,weakness,Yes
715,pig,fever,depression,loss of appetite,loss of appetite,pains,Yes
716,pig,fever,difficulty in breathing,lethargy,death,pains,Yes
717,pig,poor wool,loss of appetite,lameness,small size,poor body condition,Yes
718,pig,poor immune function,achomotrica,dehydration,death,pains,Yes
719,pig,abdominal pain,diarrhea,malpresentation,shock,anorexia,Yes
720,pig,fetopelvic dispropotion,uteria inertia,despression,death,pains,Yes
721,pig,watery diarrhea dispropotion,sick,corneal ulceration,loss of appetite,death,Yes
722,pig,severe kerititis,conjunctive,discharge,iris prolapse,loss of eye,Yes
723,pig,swollen,testical pain,itches,bloody discharge,tenderness,Yes
724,pig,fever,diarrhea,depression,scratches,weight loss,Yes
725,pig,foul smelling,dullness,dirty,stained wool,tail shaking,Yes
726,pig,sheep often bites,fleece become thin,loss of wool,death,pains,Yes
727,pig,fever,dullness,dullness,skin rashes,pains,Yes
728,pig,fever,difficulty in breathing,rub,coughing,sneezing,Yes
729,pig,restlessness,kick,lethargy,nible at their wool,scratching,Yes
730,pig,jaundice,loss of appetite,rough hair coat,coughing,death,Yes
731,pig,fever,reduce reproductive potential,agalactia,loss of milk production,sloughing of the tail,Yes
732,pig,pyrexia,oral lesion,swelling,lameness,death,Yes
733,pig,red skin,loss of appetite,moist,lameness,pains,Yes
734,pig,limping,skin colour change,flabby,raw,sensitive to touch,Yes
735,pig,groosly enlarged,skin may thicken,convulsion,edematous,pains,Yes
736,pig,hyperexcitability,muscular spasms,gums,death,pains,Yes
737,pig,decreased eyelid,very cold skin,lethargy,lip,fever,Yes
738,pig,fever,diarrhea,muscus,weight loss,death,Yes
739,pig,foul smelling,diarrhea,colic,bloody discharge,blood clots,Yes
740,pig,inability to digest,diarrhea,dehydration,weight loss,anemia,Yes
741,pig,fever,diarrhea,pot belly,death,loss of appettite,Yes
742,pig,emaciation,diarrhea,coughing,weight loss,death,Yes
743,pig,respiratory distress,diarrhea,death,reduce milk,weight loss,Yes
744,pig,lllthrift,bottle jaw,strange behaviour,aneamia,jaundice,Yes
745,pig,fever,lameness,wasting,blindness,staggering,Yes
746,pig,fever,diarrhea,clearly unthrifty,weight loss,good appetite,Yes
747,pig,fever,dullness,relunctance to walk,infected navels,pains,Yes
748,pig,tenderness,foot hot,facial paralysis,weight loss,pains,Yes
749,pig,fever,lack of coordination,painfull to touch,circling,depression,Yes
750,pig,swollen,warm,constipation,depression,bloody,Yes
751,pig,fever,loss of appetite,stumbling,restlessness,pains,Yes
752,pig,unsteady gait,twitching,blindness,swelling on joints,pains,Yes
753,pig,fever,ulcer,scabs,discharge from eye,pains,Yes
754,pig,smell of ammonia,ulcer,depression,swelling,pains,Yes
755,pig,fever,lethargy,blindness,inappentence,increased in breathing,Yes
756,pig,wandering,circling,blindness,head pressing,recumbency,Yes
